"","P","Y","A","G"
"520",3,4,2,1
"521",2,3,1,1
"522",3,5,2,2
"523",5,5,2,0
"524",4,5,2,1
"525",4,5,2,1
"526",4,4,1,0
"527",5,5,1,0
"528",3,5,2,2
"529",5,4,2,-1
"530",3,4,1,1
"531",5,4,1,-1
"532",3,5,1,2
"533",5,4,2,-1
"534",3,4,2,1
"535",5,5,2,0
"536",2,2,1,0
"537",3,3,1,0
"538",3,4,2,1
"539",3,3,2,0
"540",4,4,2,0
"541",2,2,2,0
"542",4,5,1,1
"543",4,3,2,-1
"544",4,3,1,-1
"545",3,3,2,0
"546",5,5,1,0
"547",3,4,1,1
"548",4,5,1,1
"549",4,4,1,0
"550",3,4,1,1
"551",4,5,1,1
"552",2,4,1,2
"553",4,5,1,1
"554",2,4,1,2
"555",5,5,2,0
"556",4,4,2,0
"557",3,4,2,1
"558",2,4,2,2
"559",3,3,2,0
"560",4,4,2,0
"561",4,5,2,1
"562",4,5,2,1
"563",5,5,2,0
"564",2,3,2,1
"565",4,5,1,1
"566",3,2,1,-1
"567",3,5,1,2
"568",3,5,1,2
"569",5,4,1,-1
"570",4,5,1,1
"571",5,5,1,0
"572",5,5,1,0
"573",3,5,1,2
"574",3,3,2,0
"575",5,5,2,0
"576",5,5,2,0
"577",5,4,2,-1
"578",3,4,2,1
"579",4,4,2,0
"580",3,5,2,2
"581",2,5,2,3
"582",4,5,2,1
"583",4,5,2,1
"584",3,4,2,1
"585",4,5,1,1
"586",5,5,1,0
"587",2,3,1,1
"588",3,5,1,2
"589",2,4,1,2
"590",2,2,1,0
"591",5,3,1,-2
"592",4,5,1,1
"593",5,5,1,0
"594",3,5,1,2
"595",4,4,1,0
"596",2,3,2,1
"597",4,5,2,1
"598",3,4,2,1
"599",3,3,2,0
"600",5,4,2,-1
"601",5,5,2,0
"602",2,3,2,1
"603",4,5,2,1
"604",5,4,2,-1
"605",3,3,2,0
"606",4,4,1,0
"607",5,5,1,0
"608",4,4,1,0
"609",2,4,1,2
"610",3,3,1,0
"611",4,5,1,1
"612",5,5,1,0
"613",2,3,1,1
"614",4,5,2,1
"615",5,5,2,0
"616",3,5,2,2
"617",5,5,2,0
"618",2,4,2,2
"619",4,5,1,1
"620",3,5,1,2
"621",4,4,1,0
"622",5,5,1,0
"623",3,5,1,2
"624",3,5,1,2
"625",2,3,1,1
"626",4,5,1,1
"627",3,5,1,2
"628",4,5,2,1
"629",3,4,2,1
"630",5,5,2,0
"631",5,5,2,0
"632",4,5,2,1
"633",4,5,2,1
"634",3,5,1,2
"635",5,5,1,0
"636",3,4,1,1
"637",4,5,1,1
"638",3,4,1,1
"639",5,5,1,0
"640",5,5,1,0
"641",5,5,1,0
"642",4,5,1,1
"643",4,5,1,1
"644",3,4,2,1
"645",3,4,2,1
"646",4,4,2,0
"647",5,5,2,0
"648",4,4,2,0
"649",4,5,2,1
"650",5,5,2,0
"651",3,2,2,-1
"652",5,5,1,0
"653",5,5,1,0
"654",5,4,1,-1
"655",2,2,1,0
"656",2,3,1,1
"657",3,5,1,2
"658",4,5,1,1
"659",4,5,1,1
"660",4,5,1,1
"661",5,5,1,0
"662",5,5,2,0
"663",4,4,2,0
"664",5,3,2,-2
"665",2,3,2,1
"666",5,5,2,0
"667",4,5,2,1
"668",2,3,2,1
"670",4,5,1,1
"671",5,5,1,0
"672",5,5,1,0
"673",3,4,1,1
"674",3,4,1,1
"675",3,2,1,-1
"676",3,5,1,2
"677",4,4,1,0
"678",4,4,2,0
"679",4,5,2,1
"680",5,5,2,0
"681",3,5,2,2
"682",4,3,2,-1
"683",5,5,2,0
"684",4,5,2,1
"685",5,4,1,-1
"686",5,5,1,0
"687",3,4,1,1
"688",5,5,1,0
"689",3,3,1,0
"691",5,4,2,-1
"692",5,5,2,0
"693",4,4,2,0
"694",4,5,2,1
"695",4,4,2,0
"696",5,4,2,-1
"697",5,5,2,0
"698",2,3,2,1
"699",4,5,2,1
"700",3,5,1,2
"701",2,2,1,0
"702",3,5,1,2
"703",3,3,1,0
"704",4,5,1,1
"705",2,4,1,2
"706",5,5,2,0
"707",3,5,2,2
"708",2,5,2,3
"709",2,4,2,2
"710",3,4,2,1
"711",2,2,2,0
"712",3,4,2,1
"713",4,5,1,1
"714",2,2,1,0
"715",4,5,1,1
"716",4,5,1,1
"717",3,4,1,1
"718",4,5,1,1
"719",4,5,1,1
"720",2,4,1,2
"721",4,5,2,1
"722",3,4,2,1
"723",5,5,2,0
"724",2,3,2,1
"725",3,4,2,1
"726",3,4,2,1
"727",3,5,2,2
"728",3,4,1,1
"729",2,4,2,2
"730",3,3,1,0
"731",3,5,1,2
"732",4,5,2,1
"733",2,1,1,-1
"734",4,5,1,1
"735",2,3,2,1
"736",4,5,2,1
"737",4,4,1,0
"738",4,5,1,1
"739",4,4,2,0
"740",3,4,2,1
"741",2,4,2,2
"742",3,4,1,1
"743",2,2,1,0
"744",2,1,1,-1
"745",4,5,1,1
"746",1,3,1,2
"747",2,4,1,2
"748",4,5,2,1
"749",3,2,1,-1
"750",2,3,1,1
"751",4,5,2,1
"753",2,4,2,2
"754",3,5,1,2
"755",2,3,1,1
"756",2,3,1,1
"757",3,5,2,2
"758",4,5,2,1
"759",4,3,2,-1
"760",2,4,2,2
"761",2,4,1,2
"762",2,4,1,2
"763",3,4,2,1
"764",4,4,1,0
"765",2,4,1,2
"766",5,5,2,0
"768",2,2,1,0
"769",3,4,2,1
"770",2,3,2,1
"771",4,5,2,1
"772",4,5,2,1
"773",2,1,2,-1
"774",5,5,2,0
"775",5,5,2,0
"776",5,5,2,0
"777",1,3,2,2
"778",3,4,1,1
"779",4,5,1,1
"780",4,4,1,0
"781",3,4,1,1
"782",4,5,1,1
"783",3,2,1,-1
"784",3,4,1,1
"785",3,4,1,1
"786",5,5,1,0
"787",4,5,1,1
"788",3,5,1,2
"789",4,2,2,-2
"790",4,5,2,1
"791",4,3,2,-1
"792",4,5,2,1
"793",5,4,2,-1
"794",5,4,2,-1
"795",4,4,2,0
"796",3,3,2,0
"797",3,2,2,-1
"798",3,2,2,-1
"799",2,3,1,1
"800",2,2,1,0
"801",3,5,1,2
"802",2,3,1,1
"803",3,4,1,1
"804",5,5,1,0
"805",4,5,1,1
"806",5,5,1,0
"807",4,4,1,0
"808",2,3,2,1
"809",3,4,2,1
"810",5,5,2,0
"811",4,5,2,1
"812",2,2,2,0
"813",1,2,2,1
"814",4,4,2,0
"815",2,3,1,1
"816",4,3,1,-1
"817",3,5,1,2
"818",5,5,1,0
"819",3,4,1,1
"820",3,4,1,1
"821",1,5,1,4
"822",4,5,1,1
"823",3,3,1,0
"824",3,2,1,-1
"825",3,4,1,1
"826",4,3,1,-1
"827",2,4,1,2
"828",3,5,1,2
"829",4,5,1,1
"830",4,5,1,1
"831",4,5,1,1
"832",4,4,2,0
"833",2,2,2,0
"834",3,4,2,1
"835",4,4,2,0
"836",5,4,2,-1
"837",5,5,1,0
"838",3,4,1,1
"839",3,5,1,2
"840",3,5,1,2
"841",2,3,1,1
"842",4,5,1,1
"843",3,2,2,-1
"844",3,3,2,0
"845",2,2,2,0
"846",5,4,2,-1
"847",2,3,2,1
